fixRogersH3 = {{233, 1, 5, 1, 5.1950358885085715}, 
     {233, 5, 5, 2, 5.3077415705935564}, {233, 5, 5, 3, 5.332317344053416}, 
     {233, 5, 5, 4, 5.347998293194749}, {233, 1, 6, 1, 5.180211228190903}, 
     {233, 5, 6, 2, 5.294976377644358}, {233, 5, 6, 3, 5.300566500052035}, 
     {233, 5, 6, 4, 5.309824723582975}, {233, 1, 7, 1, 5.171724034786914}, 
     {233, 5, 7, 2, 5.273296365350177}, {233, 5, 7, 3, 5.282799925224178}, 
     {233, 5, 7, 4, 5.292349170100444}, {233, 1, 8, 1, 5.152918402777893}, 
     {233, 5, 8, 2, 5.2712921836175415}, {233, 5, 8, 3, 5.290902597386237}, 
     {233, 5, 8, 4, 5.265457764975548}, {233, 1, 9, 1, 5.150852524431949}, 
     {233, 5, 9, 2, 5.248159200278515}, {233, 5, 9, 3, 5.287890956508081}, 
     {233, 5, 9, 4, 5.247945905969264}, {233, 1, 10, 1, 5.131745485732497}, 
     {233, 5, 10, 2, 5.221676315465126}, {233, 5, 10, 3, 5.261194498064677}, 
     {233, 5, 10, 4, 5.231568233816303}}
