fixBWL1 = {{233, 1, 5, 1, 2.939839489036149}, {233, 5, 5, 2, 
      2.742742251410648}, {233, 5, 5, 3, 2.7212940765346114}, 
     {233, 5, 5, 4, 2.735755959446392}, {233, 1, 6, 1, 2.929631106104176}, 
     {233, 5, 6, 2, 2.7325338684786753}, {233, 5, 6, 3, 2.7110856936026386}, 
     {233, 5, 6, 4, 2.725547576514419}, {233, 1, 7, 1, 2.9252494397577182}, 
     {233, 5, 7, 2, 2.728152202132217}, {233, 5, 7, 3, 2.7067040272561806}, 
     {233, 5, 7, 4, 2.7211659101679606}, {233, 1, 8, 1, 2.9188205021091433}, 
     {233, 5, 8, 2, 2.7217232644836424}, {233, 5, 8, 3, 2.7002750896076058}, 
     {233, 5, 8, 4, 2.714736972519386}, {233, 1, 9, 1, 2.9163888525426347}, 
     {233, 5, 9, 2, 2.719291614917134}, {233, 5, 9, 3, 2.6978434400410967}, 
     {233, 5, 9, 4, 2.712305322952877}, {233, 1, 10, 1, 2.91222834129801}, 
     {233, 5, 10, 2, 2.7151311036725088}, {233, 5, 10, 3, 2.693682928796472}, 
     {233, 5, 10, 4, 2.7081448117082525}}
