fixHT2 = {{233, 1, 5, 1, 7.725292414192663}, {233, 5, 5, 2, 
      7.215568481302891}, {233, 5, 5, 3, 7.0976200554509115}, 
     {233, 5, 5, 4, 7.12838667130013}, {233, 1, 6, 1, 4.3337039891846025}, 
     {233, 5, 6, 2, 5.432316277852919}, {233, 5, 6, 3, 5.314533242196054}, 
     {233, 5, 6, 4, 5.345304900863341}, {233, 1, 7, 1, 7.694319857301289}, 
     {233, 5, 7, 2, 7.1844777051108295}, {233, 5, 7, 3, 7.066723942594568}, 
     {233, 5, 7, 4, 7.097480367145979}, {233, 1, 8, 1, 7.68652667600604}, 
     {233, 5, 8, 2, 7.176572304168526}, {233, 5, 8, 3, 7.058844402209976}, 
     {233, 5, 8, 4, 7.08965524586908}, {233, 1, 9, 1, 7.674955132856102}, 
     {233, 5, 9, 2, 7.165158125545484}, {233, 5, 9, 3, 7.047384223521327}, 
     {233, 5, 9, 4, 7.078140894439405}, {233, 1, 10, 1, 7.674935919843296}, 
     {233, 5, 10, 2, 7.165080760388937}, {233, 5, 10, 3, 7.047209004561781}, 
     {233, 5, 10, 4, 7.078011669629344}}
